Normalized_URL,Go_ID,Go_Name,Go_Homepage,Go_Repo,Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
github.com/pingcap/tispark,143689,github.com/pingcap/tispark,https://github.com/pingcap/tispark,https://github.com/pingcap/tispark,549581,com.pingcap.tispark:tispark-parent,http://github.copm/pingcap/tispark,https://github.com/pingcap/tispark/tree/master,531090,pytispark,https://github.com/pingcap/tispark,https://github.com/pingcap/tispark
github.com/workiva/frugal,160679,github.com/workiva/frugal/lib/go,https://github.com/workiva/frugal,https://github.com/workiva/frugal,495385,com.workiva:frugal,https://github.com/Workiva/frugal/lib/java,http://github.com/Workiva/frugal,226961,frugal,http://github.com/Workiva/frugal,http://github.com/Workiva/frugal
github.com/treeverse/lakefs,2156300,github.com/treeverse/lakefs/modules/catalog/factory,https://github.com/treeverse/lakefs,https://github.com/treeverse/lakefs,329799,io.lakefs:api-client,https://lakefs.io,https://github.com/treeverse/lakeFS,314503,lakefs_sdk_async,https://github.com/treeverse/lakeFS,https://github.com/treeverse/lakeFS
github.com/thomaspoignant/go-feature-flag,2196834,github.com/thomaspoignant/go-feature-flag/cmd/wasm,https://github.com/thomaspoignant/go-feature-flag,https://github.com/thomaspoignant/go-feature-flag,178089,org.gofeatureflag.openfeature:gofeatureflag-kotlin-provider,https://gofeatureflag.org,https://github.com/thomaspoignant/go-feature-flag/tree/main/openfeature/providers/kotlin-provider,245846,gofeatureflag-python-provider,https://gofeatureflag.org,https://github.com/thomaspoignant/go-feature-flag/tree/main/openfeature/providers/python-provider
github.com/ceph/ceph,283021,github.com/ceph/ceph,https://github.com/ceph/ceph,https://github.com/ceph/ceph,695110,com.ceph:libcephfs,http://www.ceph.com,scm:git:git@github.com:ceph/ceph.git,642418,test-cephadm,https://github.com/ceph/ceph,https://github.com/ceph/ceph
github.com/alibaba/graphscope,290454,github.com/alibaba/graphscope,https://github.com/alibaba/graphscope,https://github.com/alibaba/graphscope,717672,com.alibaba.graphscope:grape-jdk-parent,https://github.com/alibaba/GraphScope,git@github.com:alibaba/graphscope.git,500834,pygraphar,https://github.com/alibaba/GraphScope,https://github.com/alibaba/GraphScope
github.com/ninia/jep,316489,github.com/ninia/jep,https://github.com/ninia/jep,https://github.com/ninia/jep,747593,black.ninia:jep,https://github.com/ninia/jep,https://github.com/ninia/jep/tree/v4.3.1,293661,jep,https://pypi.org/project/jep/,https://github.com/ninia/jep.git
github.com/vmware/alb-sdk,322559,github.com/vmware/alb-sdk,https://github.com/vmware/alb-sdk,https://github.com/vmware/alb-sdk,500317,com.vmware.avi.sdk:avisdk,https://github.com/vmware/alb-sdk/tree/master/java,http://github.com/vmware/alb-sdk/tree/master/java,44130,avisdk,https://github.com/vmware/alb-sdk,https://github.com/vmware/alb-sdk
github.com/odpf/stencil,335108,github.com/odpf/stencil,https://github.com/odpf/stencil,https://github.com/odpf/stencil,322333,io.odpf:stencil,https://github.com/odpf/stencil,https://github.com/odpf/stencil.git,619961,stencil-python-client,https://github.com/odpf/stencil,https://github.com/odpf/stencil
github.com/pytorch/vision,338299,github.com/pytorch/vision,https://github.com/pytorch/vision,https://github.com/pytorch/vision,104808,org.pytorch:torchvision_ops,https://github.com/pytorch/vision/,https://github.com/pytorch/vision.git,659596,torchvision-raspi,https://github.com/pytorch/vision,https://github.com/pytorch/vision
github.com/api7/ext-plugin-proto,345886,github.com/api7/ext-plugin-proto,https://github.com/api7/ext-plugin-proto,https://github.com/api7/ext-plugin-proto,411951,io.github.api7:A6,https://github.com/api7/ext-plugin-proto,https://github.com/api7/ext-plugin-proto,953,a6pluginprotos,https://github.com/api7/ext-plugin-proto,https://github.com/api7/ext-plugin-proto
github.com/microsoft/recommenders,446455,github.com/microsoft/recommenders,https://github.com/microsoft/recommenders,https://github.com/microsoft/recommenders,569303,com.microsoft.sarplus:sarplus-spark-3-2-plus_2.12,https://github.com/microsoft/recommenders/tree/main/contrib/sarplus,https://github.com/microsoft/recommenders/tree/main/contrib/sarplus,549269,recommender-utils,https://github.com/microsoft/recommenders,https://github.com/microsoft/recommenders
github.com/aliyun/alibabacloud-opensearch-sdk,447831,github.com/aliyun/alibabacloud-opensearch-sdk,https://github.com/aliyun/alibabacloud-opensearch-sdk,https://github.com/aliyun/alibabacloud-opensearch-sdk,714915,com.aliyun.opensearch:aliyun-sdk-opensearch,http://www.aliyun.com,https://github.com/aliyun/alibabacloud-opensearch-sdk,18542,alibabacloud-opensearch-util,https://github.com/aliyun/alibabacloud-opensearch-sdk,https://github.com/aliyun/alibabacloud-opensearch-sdk
github.com/google/differential-privacy,1935810,github.com/google/differential-privacy/go/v4,https://github.com/google/differential-privacy,https://github.com/google/differential-privacy,612066,com.google.privacy:differentialprivacy,https://github.com/google/differential-privacy,https://github.com/google/differential-privacy/tree/main,172751,dp-accounting,https://github.com/google/differential-privacy/,https://github.com/google/differential-privacy/
github.com/nitrictech/apis,476422,github.com/nitrictech/apis,https://github.com/nitrictech/apis,https://github.com/nitrictech/apis,322784,io.nitric:api,https://github.com/nitrictech/apis,https://github.com/nitrictech/apis,397152,nitric-api,https://github.com/nitrictech/apis,https://github.com/nitrictech/apis
github.com/azure/mmlspark,499876,github.com/azure/mmlspark,https://github.com/azure/mmlspark,https://github.com/azure/mmlspark,569346,com.microsoft.ml.spark:mmlspark_2.11,https://github.com/Azure/mmlspark,https://github.com/Azure/MMLSpark,402834,nozberkman-mmlspark,https://github.com/Azure/mmlspark,https://github.com/Azure/mmlspark
github.com/johnlangford/vowpal_wabbit,506419,github.com/johnlangford/vowpal_wabbit,https://github.com/johnlangford/vowpal_wabbit,https://github.com/johnlangford/vowpal_wabbit,641680,com.github.johnlangford:vw-jni,https://github.com/JohnLangford/vowpal_wabbit,git@github.com:JohnLangford/vowpal_wabbit.git,691146,vowpalwabbitds,https://github.com/JohnLangford/vowpal_wabbit,https://github.com/JohnLangford/vowpal_wabbit
github.com/apache/bookkeeper,516758,github.com/apache/bookkeeper,https://github.com/apache/bookkeeper,https://github.com/apache/bookkeeper,251097,org.apache.bookkeeper:bookkeeper,http://bookkeeeper.apache.org,https://github.com/apache/bookkeeper,27284,apache-bookkeeper-client,https://github.com/apache/bookkeeper/tree/master/stream/clients/python,https://github.com/apache/bookkeeper/tree/master/stream/clients/python
github.com/aliyun/alibabacloud-ha3-sdk,579292,github.com/aliyun/alibabacloud-ha3-sdk,https://github.com/aliyun/alibabacloud-ha3-sdk,https://github.com/aliyun/alibabacloud-ha3-sdk,715701,com.aliyun:aliyun-sdk-ha3engine,https://github.com/aliyun/alibabacloud-ha3-sdk,,18328,alibabacloud-ha3-util,https://github.com/aliyun/alibabacloud-ha3-sdk/util,https://github.com/aliyun/alibabacloud-ha3-sdk/util
github.com/delta-io/delta,602470,github.com/delta-io/delta,https://github.com/delta-io/delta,https://github.com/delta-io/delta,427084,io.delta:delta-connect-client_2.13,https://delta.io/,git@github.com:delta-io/delta.git,138815,delta-spark,https://github.com/delta-io/delta/,https://github.com/delta-io/delta
github.com/microsoft/onnxruntime-extensions,673949,github.com/microsoft/onnxruntime-extensions,https://github.com/microsoft/onnxruntime-extensions,https://github.com/microsoft/onnxruntime-extensions,569338,com.microsoft.onnxruntime:onnxruntime-extensions,https://microsoft.github.io/onnxruntime/,http://github.com/microsoft/onnxruntime-extensions,432863,onnxruntime_extensions,https://github.com/microsoft/onnxruntime-extensions,https://github.com/microsoft/onnxruntime-extensions
github.com/4paradigm/openmldb,682158,github.com/4paradigm/openmldb,https://github.com/4paradigm/openmldb,https://github.com/4paradigm/openmldb,723213,com.4paradigm.openmldb:openmldb-parent,https://github.com/4paradigm/OpenMLDB,https://github.com/4paradigm/OpenMLDB,436150,openmldb-tool,https://github.com/4paradigm/OpenMLDB,https://github.com/4paradigm/OpenMLDB
github.com/seldonio/seldon-core,2069256,github.com/seldonio/seldon-core/components/kafka/v2,https://github.com/seldonio/seldon-core,https://github.com/seldonio/seldon-core,309657,io.seldon.wrapper:seldon-core-wrapper,http://maven.apache.org,https://github.com/SeldonIO/seldon-core/tree/master,581791,seldon-core-lilith,https://github.com/SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core
github.com/th2-net/th2-grpc-common,736816,github.com/th2-net/th2-grpc-common,https://github.com/th2-net/th2-grpc-common,https://github.com/th2-net/th2-grpc-common,674270,com.exactpro.th2:grpc-common,https://github.com/th2-net/th2-grpc-common,https://github.com/th2-net/th2-grpc-common,647273,th2-grpc-common,https://github.com/th2-net/th2-grpc-common,https://github.com/th2-net/th2-grpc-common
github.com/th2-net/th2-grpc-check1,737369,github.com/th2-net/th2-grpc-check1,https://github.com/th2-net/th2-grpc-check1,https://github.com/th2-net/th2-grpc-check1,674273,com.exactpro.th2:grpc-check1,https://github.com/th2-net/th2-grpc-check1,https://github.com/th2-net/th2-grpc-check1,647270,th2-grpc-check1,https://github.com/th2-net/th2-grpc-check1,https://github.com/th2-net/th2-grpc-check1
github.com/th2-net/th2-grpc-act-template,737370,github.com/th2-net/th2-grpc-act-template,https://github.com/th2-net/th2-grpc-act-template,https://github.com/th2-net/th2-grpc-act-template,674278,com.exactpro.th2:grpc-act-template,https://github.com/th2-net/th2-grpc-act-template,https://github.com/th2-net/th2-grpc-act-template,647264,th2-grpc-act-template,https://github.com/th2-net/th2-grpc-act-template,https://github.com/th2-net/th2-grpc-act-template
github.com/alibaba/proxima,737578,github.com/alibaba/proxima/sdk/go,https://github.com/alibaba/proxima,https://github.com/alibaba/proxima,715488,com.aliyun:dashtext-java,https://help.aliyun.com/document_detail/2510231.html,https://github.com/alibaba/proxima,128157,dashvector,https://github.com/alibaba/proxima,https://github.com/alibaba/proxima
github.com/dstackai/dstack,980887,github.com/dstackai/dstack/runner,https://github.com/dstackai/dstack,https://github.com/dstackai/dstack,756959,ai.dstack:server-base,https://github.com/dstackai/dstack,https://github.com/dstackai/dstack/,176529,dstack,https://pypi.org/project/dstack/,https://github.com/dstackai/dstack
github.com/robotframework/robotframework,812343,github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,101302,org.robotframework:robotframework,http://robotframework.org,https://github.com/robotframework/robotframework,560953,robotframework,https://robotframework.org,https://github.com/robotframework/robotframework
github.com/kotlin/kotlin-jupyter,820312,github.com/kotlin/kotlin-jupyter,https://github.com/kotlin/kotlin-jupyter,https://github.com/kotlin/kotlin-jupyter,162506,org.jetbrains.kotlinx:kotlin-jupyter-api,https://github.com/Kotlin/kotlin-jupyter,https://github.com/Kotlin/kotlin-jupyter,310786,kotlin-jupyter-kernel,https://github.com/Kotlin/kotlin-jupyter,https://github.com/Kotlin/kotlin-jupyter
github.com/delta-io/delta-sharing,835643,github.com/delta-io/delta-sharing,https://github.com/delta-io/delta-sharing,https://github.com/delta-io/delta-sharing,427065,io.delta:delta-sharing-client_2.12,https://github.com/delta-io/delta-sharing,git@github.com:delta-io/delta-sharing.git,138811,delta-sharing-custom,https://github.com/delta-io/delta-sharing/,https://github.com/delta-io/delta-sharing
github.com/k2-fsa/sherpa-onnx,1917558,github.com/k2-fsa/sherpa-onnx/go-api-examples/vad-asr-whisper,https://github.com/k2-fsa/sherpa-onnx,https://github.com/k2-fsa/sherpa-onnx,576191,com.litongjava:sherpa-onnx-java-api,https://github.com/k2-fsa/sherpa-onnx/tree/master/sherpa-onnx/java-api,git@github.com:k2-fsa/sherpa-onnx.git,588337,sherpa-onnx-core,https://github.com/k2-fsa/sherpa-onnx,https://github.com/k2-fsa/sherpa-onnx
github.com/irmen/serpent,925580,github.com/irmen/serpent,https://github.com/irmen/serpent,https://github.com/irmen/serpent,268002,net.razorvine:serpent,https://github.com/irmen/Serpent,https://github.com/irmen/Serpent,584860,serpent,https://github.com/irmen/Serpent,https://github.com/irmen/Serpent
github.com/uber/piranha,951968,github.com/uber/piranha,https://github.com/uber/piranha,https://github.com/uber/piranha,504041,com.uber.piranha:piranha,https://github.com/uber/Piranha/,https://github.com/uber/Piranha/,469974,polyglot-piranha-playground,https://github.com/uber/piranha,https://github.com/uber/piranha
github.com/deeplearning4j/deeplearning4j,1006402,github.com/deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,201727,org.deeplearning4j:deeplearning4j,http://deeplearning4j.org/,git@github.com:deeplearning4j/deeplearning4j.git,494334,pydatavec,https://github.com/deeplearning4j/deeplearning4j.git,https://github.com/deeplearning4j/deeplearning4j.git
github.com/datahub-project/datahub,1009979,github.com/datahub-project/datahub,https://github.com/datahub-project/datahub,https://github.com/datahub-project/datahub,439003,io.acryl:acryl-spark-lineage,https://datahubproject.io,https://github.com/datahub-project/datahub.git,664399,treff7es-datahub-airflow-plugin,https://datahubproject.io/,https://github.com/datahub-project/datahub
github.com/apache/streampipes,1375624,github.com/apache/streampipes/streampipes-client-go,https://github.com/apache/streampipes,https://github.com/apache/streampipes,224176,org.apache.streampipes:streampipes-parent,https://streampipes.apache.org,https://github.com/apache/streampipes,623155,streampipes,https://streampipes.apache.org/docs/docs/python/latest/,https://github.com/apache/streampipes
github.com/pytgcalls/ntgcalls,1341723,github.com/pytgcalls/ntgcalls,https://github.com/pytgcalls/ntgcalls,https://github.com/pytgcalls/ntgcalls,366326,io.github.pytgcalls:ntgcalls,https://github.com/pytgcalls/ntgcalls,https://github.com/pytgcalls/ntgcalls,404053,ntgcalls,https://pypi.org/project/ntgcalls/,https://github.com/pytgcalls/ntgcalls.git
github.com/baidubce/app-builder,1359213,github.com/baidubce/app-builder/go/appbuilder,https://github.com/baidubce/app-builder,https://github.com/baidubce/app-builder,703584,com.baidubce:appbuilder,https://github.com/baidubce/app-builder,https://github.com/baidubce/app-builder/tree/master,29191,appbuilder-sdk,https://github.com/baidubce/app-builder,https://github.com/baidubce/app-builder
github.com/shiftleftsecurity/codepropertygraph,1365922,github.com/shiftleftsecurity/codepropertygraph,https://github.com/shiftleftsecurity/codepropertygraph,https://github.com/shiftleftsecurity/codepropertygraph,570431,com.michaelpollmeier:codepropertygraph-domain-classes_3,https://github.com/ShiftLeftSecurity/codepropertygraph/,https://github.com/ShiftLeftSecurity/codepropertygraph,114994,cpgclientlib,https://github.com/ShiftLeftSecurity/codepropertygraph,https://github.com/ShiftLeftSecurity/codepropertygraph
github.com/radixdlt/radix-engine-toolkit,1394588,github.com/radixdlt/radix-engine-toolkit,https://github.com/radixdlt/radix-engine-toolkit,https://github.com/radixdlt/radix-engine-toolkit,545066,com.radixdlt:radix-engine-toolkit-kotlin,https://github.com/radixdlt/radix-engine-toolkit,https://github.com/radixdlt/radix-engine-toolkit.git,543310,radix-engine-toolkit,https://github.com/radixdlt/radix-engine-toolkit,https://github.com/radixdlt/radix-engine-toolkit
github.com/microsoft/synapseml,1557182,github.com/microsoft/synapseml,https://github.com/microsoft/synapseml,https://github.com/microsoft/synapseml,569501,com.microsoft.azure:synapseml-cognitive_2.12,https://github.com/Microsoft/SynapseML,https://github.com/Microsoft/SynapseML,630507,synapseml,https://github.com/Microsoft/SynapseML,https://github.com/Microsoft/SynapseML
github.com/dsc-spidal/twister2,1564725,github.com/dsc-spidal/twister2,https://github.com/dsc-spidal/twister2,https://github.com/dsc-spidal/twister2,75634,org.twister2:api-java,https://github.com/DSC-SPIDAL/twister2,https://github.com/DSC-SPIDAL/twister2,669954,twister2,https://github.com/DSC-SPIDAL/twister2,https://github.com/DSC-SPIDAL/twister2
github.com/combust/mleap,1569714,github.com/combust/mleap,https://github.com/combust/mleap,https://github.com/combust/mleap,285099,ml.combust.bundle:bundle-hdfs_2.11,https://github.com/combust/mleap,https://github.com/combust/mleap.git,364209,mleap-splice,https://github.com/combust/mleap/tree/master/python,https://github.com/combust/mleap/tree/master/python
github.com/pytorch/executorch,1578424,github.com/pytorch/executorch,https://github.com/pytorch/executorch,https://github.com/pytorch/executorch,104818,org.pytorch:executorch-android,https://github.com/pytorch/executorch/,https://github.com/pytorch/executorch.git,531828,pytorch-tokenizers,https://github.com/meta-pytorch/tokenizers,https://github.com/pytorch/executorch
github.com/tensorflow/ecosystem,1579243,github.com/tensorflow/ecosystem,https://github.com/tensorflow/ecosystem,https://github.com/tensorflow/ecosystem,79970,org.tensorflow:hadoop,https://www.tensorflow.org,https://github.com/tensorflow/ecosystem.git,607667,spark-tensorflow-distributor,https://github.com/tensorflow/ecosystem/tree/master/spark/spark-tensorflow-distributor,https://github.com/tensorflow/ecosystem/tree/master/spark/spark-tensorflow-distributor
github.com/graphframes/graphframes,1586336,github.com/graphframes/graphframes,https://github.com/graphframes/graphframes,https://github.com/graphframes/graphframes,341422,io.graphframes:graphframes-connect-spark3_2.12,https://graphframes.io/,https://github.com/graphframes/graphframes,250416,graphframes-latest,https://github.com/graphframes/graphframes,https://github.com/graphframes/graphframes
github.com/holdenk/spark-testing-base,1589255,github.com/holdenk/spark-testing-base,https://github.com/holdenk/spark-testing-base,https://github.com/holdenk/spark-testing-base,605319,com.holdenkarau:spark-scalafix-rules-2.1.1_2.11,https://github.com/holdenk/spark-auto-upgrade,https://github.com/holdenk/spark-testing-base.git,607670,spark-testing-base,https://github.com/holdenk/spark-testing-base,https://github.com/holdenk/spark-testing-base
github.com/openlineage/openlineage,1590687,github.com/openlineage/openlineage,https://github.com/openlineage/openlineage,https://github.com/openlineage/openlineage,320092,io.openlineage:openlineage-flink,https://github.com/OpenLineage/OpenLineage,https://github.com/OpenLineage/OpenLineage,435929,openlineage-integration-common,https://pypi.org/project/openlineage-integration-common/,https://github.com/OpenLineage/OpenLineage/tree/main/integration/common
github.com/timefoldai/timefold-solver,1599220,github.com/timefoldai/timefold-solver,https://github.com/timefoldai/timefold-solver,https://github.com/timefoldai/timefold-solver,755528,ai.timefold.solver:timefold-solver-parent,https://timefold.ai,https://github.com/TimefoldAI/timefold-solver,651115,timefold,https://github.com/TimefoldAI/timefold-solver,https://github.com/TimefoldAI/timefold-solver
github.com/eladb/cdk-dynamo-table-viewer,1601076,github.com/eladb/cdk-dynamo-table-viewer,https://github.com/eladb/cdk-dynamo-table-viewer,https://github.com/eladb/cdk-dynamo-table-viewer,651378,com.github.eladb:cdk-dynamo-table-viewer,https://github.com/eladb/cdk-dynamo-table-viewer.git,https://github.com/eladb/cdk-dynamo-table-viewer.git,82971,cdk-dynamo-table-viewer,https://github.com/eladb/cdk-dynamo-table-viewer.git,https://github.com/eladb/cdk-dynamo-table-viewer.git
github.com/h2oai/sparkling-water,1606472,github.com/h2oai/sparkling-water,https://github.com/h2oai/sparkling-water,https://github.com/h2oai/sparkling-water,756797,ai.h2o:sparkling-water-api-generation_2.11,https://github.com/h2oai/sparkling-water,https://github.com/h2oai/sparkling-water,255895,h2o-pysparkling-scoring-3.5,https://github.com/h2oai/sparkling-water,https://github.com/h2oai/sparkling-water
github.com/apache/atlas,1616525,github.com/apache/atlas,https://github.com/apache/atlas,https://github.com/apache/atlas,251722,org.apache.atlas:apache-atlas,https://atlas.apache.org,https://github.com/apache/atlas.git,27276,apache-atlas,https://github.com/apache/atlas/tree/master/intg/src/main/python,https://github.com/apache/atlas/tree/master/intg/src/main/python
github.com/littlehorse-enterprises/littlehorse,1665083,github.com/littlehorse-enterprises/littlehorse/sdk-go,https://github.com/littlehorse-enterprises/littlehorse,https://github.com/littlehorse-enterprises/littlehorse,328818,io.littlehorse:littlehorse-canary,https://github.com/littlehorse-enterprises/littlehorse,https://github.com/littlehorse-enterprises/littlehorse,327730,littlehorse-client,https://pypi.org/project/littlehorse-client/,https://github.com/littlehorse-enterprises/littlehorse
github.com/aliyun/aliyun-odps-openapi-sdk,1825120,github.com/aliyun/aliyun-odps-openapi-sdk/common/go,https://github.com/aliyun/aliyun-odps-openapi-sdk,https://github.com/aliyun/aliyun-odps-openapi-sdk,714933,com.aliyun.odps:openapi,https://github.com/aliyun/aliyun-odps-openapi-sdk,http://github.com/aliyun/aliyun-odps-openapi-sdk,346594,maxcompute-tea-openapi,https://github.com/aliyun/aliyun-odps-openapi-sdk,https://github.com/aliyun/aliyun-odps-openapi-sdk
github.com/apache/tsfile,1913997,github.com/apache/tsfile,https://github.com/apache/tsfile,https://github.com/apache/tsfile,510355,com.timecho.tsfile:tsfile-parent,,ssh://git@github.com:apache/tsfile.git,666861,tsfile,https://pypi.org/project/tsfile/,https://github.com/apache/tsfile
github.com/ucb-bar/barstools,1918720,github.com/ucb-bar/barstools,https://github.com/ucb-bar/barstools,https://github.com/ucb-bar/barstools,454764,edu.berkeley.cs:barstools_2.12,https://github.com/ucb-bar/barstools/,https://github.com/ucb-bar/barstools,51128,barstools,https://github.com/ucb-bar/barstools,https://github.com/ucb-bar/barstools
github.com/intel-analytics/analytics-zoo,1974076,github.com/intel-analytics/analytics-zoo,https://github.com/intel-analytics/analytics-zoo,https://github.com/intel-analytics/analytics-zoo,598301,com.intel.analytics.zoo:analytics-zoo-bigdl_0.12.2-spark_2.1.1,https://github.com/intel-analytics/analytics-zoo,https://github.com/intel-analytics/analytics-zoo/tree/master,57910,bigdl-orca-spark321,https://github.com/intel-analytics/analytics-zoo,https://github.com/intel-analytics/analytics-zoo
github.com/twosigma/cook,1978296,github.com/twosigma/cook,https://github.com/twosigma/cook,https://github.com/twosigma/cook,506191,com.twosigma:cook.jobclient,http://github.com/twosigma/Cook,git@github.com:twosigma/cook.git,111690,cook-executor,https://github.com/twosigma/Cook,https://github.com/twosigma/Cook
github.com/locationtech/geowave,1985334,github.com/locationtech/geowave,https://github.com/locationtech/geowave,https://github.com/locationtech/geowave,146283,org.locationtech.geowave:geowave-dev-resources,https://github.com/locationtech/geowave,https://github.com/locationtech/geowave.git,501269,pygw,https://locationtech.github.io/geowave/,https://github.com/locationtech/geowave/tree/master/python/src/main/python
github.com/powsybl/pypowsybl,2011834,github.com/powsybl/pypowsybl,https://github.com/powsybl/pypowsybl,https://github.com/powsybl/pypowsybl,548097,com.powsybl:pypowsybl-parent,https://www.powsybl.org,https://github.com/powsybl/pypowsybl/tree/main/,513288,pypowsybl,https://github.com/powsybl/pypowsybl,https://github.com/powsybl/pypowsybl
github.com/aws/sagemaker-spark,2019458,github.com/aws/sagemaker-spark,https://github.com/aws/sagemaker-spark,https://github.com/aws/sagemaker-spark,713422,com.amazonaws:sagemaker-spark_2.11,https://github.com/aws/sagemaker-spark,https://github.com/aws/sagemaker-spark,569787,sagemaker-pyspark,https://github.com/aws/sagemaker-spark,https://github.com/aws/sagemaker-spark
github.com/g-research/spark-extension,2019620,github.com/g-research/spark-extension,https://github.com/g-research/spark-extension,https://github.com/g-research/spark-extension,6045,uk.co.gresearch.spark:spark-extension_2.11,https://github.com/G-Research,https://github.com/g-research/spark-extension/tree/${project.scm.tag},519945,pyspark-extension,https://github.com/G-Research/spark-extension,https://github.com/G-Research/spark-extension
github.com/sb-ai-lab/slama,2031620,github.com/sb-ai-lab/slama,https://github.com/sb-ai-lab/slama,https://github.com/sb-ai-lab/slama,396693,io.github.fonhorst:spark-lightautoml_2.12,https://github.com/sb-ai-lab/SLAMA,https://github.com/sb-ai-lab/SLAMA,607536,sparklightautoml,https://lightautoml.readthedocs.io/en/latest/,https://github.com/sb-ai-lab/SLAMA
github.com/terrier-org/pyterrier,2031671,github.com/terrier-org/pyterrier,https://github.com/terrier-org/pyterrier,https://github.com/terrier-org/pyterrier,79737,org.terrier:terrier-python-helper,http://terrier.org,https://github.com/terrier-org/pyterrier,530062,python-terrier,https://pypi.org/project/python-terrier/,https://github.com/terrier-org/pyterrier
github.com/orbisgis/h2gis,2033149,github.com/orbisgis/h2gis,https://github.com/orbisgis/h2gis,https://github.com/orbisgis/h2gis,113558,org.orbisgis:h2gis,http://github.com/orbisgis/H2GIS,,255825,h2gis,https://github.com/orbisgis/h2gis,https://github.com/orbisgis/h2gis
github.com/awslabs/mxnet-model-server,2039816,github.com/awslabs/mxnet-model-server,https://github.com/awslabs/mxnet-model-server,https://github.com/awslabs/mxnet-model-server,21583,software.amazon.ai:mms-plugins-sdk,http://maven.apache.org,https://github.com/awslabs/mxnet-model-server/tree/master/serving-sdk,379677,mxnet-model-server,https://github.com/awslabs/mxnet-model-server,https://github.com/awslabs/mxnet-model-server
