Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
137281,grandiorite,https://github.com/tiegz/grandiorite/blob/main/rust/README.md,,2078171,grandiorite,https://github.com/tiegz/grandiorite/tree/main/javascript,https://github.com/tiegz/grandiorite,250010,grandiorite,https://github.com/tiegz/grandiorite/python,https://github.com/tiegz/grandiorite/python,66380,grandiorite,https://github.com/tiegz/grandiorite/ruby/README.md,https://github.com/tiegz/grandiorite/ruby/README.md
161293,asimov-jinja-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-jinja-module,1380591,asimov-jinja-module,https://github.com/asimov-modules,git+https://github.com/asimov-modules/asimov-jinja-module.git,35127,asimov-jinja-module,https://pypi.org/project/asimov-jinja-module/,https://github.com/asimov-modules/asimov-jinja-module,9671,asimov-jinja-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-jinja-module
161598,asimov-jq-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-jq-module,1380592,asimov-jq-module,https://github.com/asimov-modules,git+https://github.com/asimov-modules/asimov-jq-module.git,35128,asimov-jq-module,https://pypi.org/project/asimov-jq-module/,https://github.com/asimov-modules/asimov-jq-module,9672,asimov-jq-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-jq-module
172612,eclectica,https://github.com/markelog/eclectica#readme,https://github.com/markelog/eclectica,1816397,eclectica,https://github.com/markelog/eclectica#readme,git+https://github.com/markelog/eclectica.git,183145,eclectica,https://github.com/markelog/eclectica,https://github.com/markelog/eclectica,44791,eclectica,https://github.com/markelog/eclectica#readme,https://github.com/markelog/eclectica#readme
179471,stateset-db,,https://github.com/stateset/stateset-icommerce,3276675,stateset-embedded-wasm,https://github.com/stateset/stateset-icommerce#readme,git+https://github.com/stateset/stateset-icommerce.git,618496,stateset-embedded,https://pypi.org/project/stateset-embedded/,https://github.com/stateset/stateset-icommerce,161861,stateset_embedded,https://github.com/stateset/stateset-icommerce,https://github.com/stateset/stateset-icommerce/tree/main/bindings/ruby
193444,optify,https://github.com/juharris/optify/tree/main/rust/optify,https://github.com/juharris/optify/tree/main/rust/optify,821542,@optify/config-win32-x64-msvc,https://github.com/juharris/optify,git+https://github.com/juharris/optify.git,438523,optify,https://github.com/juharris/optify/tree/main/rust/optify,https://github.com/juharris/optify/tree/main/rust/optify,115558,optify-from_hash,https://github.com/juharris/optify,https://github.com/juharris/optify
194284,gitdb-client,,https://github.com/karthikeyanV2K/GitDB,2057543,gitdb-database,https://github.com/karthikeyanV2K/GitDB,git+https://github.com/karthikeyanV2K/GitDB.git,241578,gitdb-client,https://github.com/karthikeyanV2K/GitDB,https://github.com/karthikeyanV2K/GitDB,62451,gitdb-client,https://github.com/karthikeyanV2K/GitDB,https://github.com/karthikeyanV2K/GitDB
200227,asimov-apify-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-apify-module,1380581,asimov-apify-module,https://github.com/asimov-modules,git+https://github.com/asimov-modules/asimov-apify-module.git,35123,asimov-apify-module,https://pypi.org/project/asimov-apify-module/,https://github.com/asimov-modules/asimov-apify-module,9657,asimov-apify-module,https://github.com/asimov-modules,https://github.com/asimov-modules/asimov-apify-module
205175,yamlstar,,https://github.com/yaml/yamlstar,3693401,yamlstar,https://github.com/yaml/yamlstar#readme,git+https://github.com/yaml/yamlstar.git,714666,yamlstar,https://github.com/yaml/yamlstar,https://github.com/yaml/yamlstar,186718,yamlstar,https://github.com/yaml/yamlstar,https://github.com/yaml/yamlstar
212804,polykv,,https://github.com/polykv/polykv,2865055,polykv,https://github.com/polykv/polykv#readme,git+https://github.com/polykv/polykv.git,470073,polykv,https://pypi.org/project/polykv/,https://github.com/polykv/polykv,122667,polykv,https://github.com/polykv/polykv,https://github.com/polykv/polykv
