Normalized_URL,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
github.com/agentcommunity/agent-interface-discovery,38927,@agentcommunity/aid-engine,https://github.com/agentcommunity/agent-interface-discovery#readme,git+https://github.com/agentcommunity/agent-interface-discovery.git,10369,aid-discovery,https://pypi.org/project/aid-discovery/,https://github.com/agentcommunity/agent-interface-discovery
github.com/xuniverz/agenticverz,39140,@agenticverz/aos-sdk,https://github.com/xuniverz/agenticverz#readme,git+https://github.com/xuniverz/agenticverz.git,26954,aos-sdk,https://pypi.org/project/aos-sdk/,https://github.com/xuniverz/agenticverz
github.com/agentpayy/agentpayy,39246,@agentpayy/sdk,https://github.com/AgentPayy/AgentPayy#readme,git+https://github.com/AgentPayy/AgentPayy.git,8656,agentpayy,https://github.com/AgentPayy/agentpayy,https://github.com/AgentPayy/agentpayy
github.com/agentroute-ai/agentroute,1302272,agentroute,https://github.com/agentroute-ai/agentroute#readme,git+https://github.com/agentroute-ai/agentroute.git,8706,agentroute,https://pypi.org/project/agentroute/,https://github.com/agentroute-ai/agentroute
github.com/agentx-ai/agentx-mcp-servers,39341,@agentx-ai/notion-mcp-server,https://github.com/AgentX-ai/AgentX-mcp-servers/tree/main/notion-mcp-server#readme,git+ssh://git@github.com/AgentX-ai/AgentX-mcp-servers.git,714189,yahoo-finance-server,https://pypi.org/project/yahoo-finance-server/,https://github.com/AgentX-ai/AgentX-mcp-servers
github.com/agoose77/jupyterlab-imarkdown,40016,@agoose77/jupyterlab-imarkdown,https://github.com/agoose77/jupyterlab-imarkdown,git+https://github.com/agoose77/jupyterlab-imarkdown.git,300540,jupyterlab-imarkdown,https://github.com/agoose77/jupyterlab-imarkdown,https://github.com/agoose77/jupyterlab-imarkdown
github.com/agoose77/jupyterlab-markup,40017,@agoose77/jupyterlab-markup,https://github.com/agoose77/jupyterlab-markup,git+https://github.com/agoose77/jupyterlab-markup.git,300619,jupyterlab-markup,https://github.com/agoose77/jupyterlab-markup.git,https://github.com/agoose77/jupyterlab-markup.git
github.com/agoose77/jupyterlab-markup-expr,40018,@agoose77/jupyterlab-markup-expr,https://github.com/agoose77/jupyterlab-markup-expr,git+https://github.com/agoose77/jupyterlab-markup-expr.git,300620,jupyterlab-markup-expr,https://github.com/agoose77/jupyterlab-markup-expr,https://github.com/agoose77/jupyterlab-markup-expr
github.com/agoose77/jupyterlab-log-renderer,40019,@agoose77/jupyterlab_log_renderer,https://github.com/agoose77/jupyterlab-log-renderer,git+https://github.com/agoose77/jupyterlab-log-renderer.git,300605,jupyterlab-log-renderer,https://github.com/agoose77/jupyterlab-log-renderer.git,https://github.com/agoose77/jupyterlab-log-renderer.git
github.com/danielbutler1/ai-stats,41997,@ai-stats/sdk,https://github.com/DanielButler1/AI-Stats#readme,git+https://github.com/DanielButler1/AI-Stats.git,15328,ai-stats-py-sdk,https://pypi.org/project/ai-stats-py-sdk/,https://github.com/DanielButler1/AI-Stats
github.com/ai-2070/l0,42138,@ai2070/l0,https://github.com/ai-2070/l0#readme,git+https://github.com/ai-2070/l0.git,9723,ai2070-l0,https://pypi.org/project/ai2070-l0/,https://github.com/ai-2070/l0
github.com/ailuntz/cli,43263,@ailuntz/cli,https://ailuntz.com,git+https://github.com/ailuntz/cli.git,11186,ailuntz,https://ailuntz.com,https://github.com/ailuntz/cli
github.com/aliyun/darabonba-array,53573,@alicloud/darabonba-array,https://github.com/aliyun/darabonba-array#readme,git+https://github.com/aliyun/darabonba-array.git,18763,alibabacloud-tea-console-py2,https://github.com/aliyun/darabonba-array,https://github.com/aliyun/darabonba-array
github.com/aliyun/darabonba-openapi,53993,@alicloud/openapi-core,https://github.com/aliyun/darabonba-openapi#readme,git+ssh://git@github.com/aliyun/darabonba-openapi.git,510291,pyodps-catalog,https://github.com/aliyun/darabonba-openapi,https://github.com/aliyun/darabonba-openapi
github.com/aliyun/tea-util,54318,@alicloud/tea-util,https://github.com/aliyun/tea-util#readme,git+ssh://git@github.com/aliyun/tea-util.git,18778,alibabacloud-tea-util-sse,https://github.com/aliyun/tea-util/tree/master/python,https://github.com/aliyun/tea-util/tree/master/python
github.com/yourusername/my-awesome-package,2578869,mrli-awesome-package-2024,https://github.com/yourusername/my-awesome-package#readme,git+https://github.com/yourusername/my-awesome-package.git,551973,RektecUUID,https://github.com/yourusername/my-awesome-package,https://github.com/yourusername/my-awesome-package
github.com/alltuner/vibetuner,66184,@alltuner/vibetuner,https://vibetuner.alltuner.com/,git+https://github.com/alltuner/vibetuner.git,686374,vibetuner,https://pypi.org/project/vibetuner/,https://github.com/alltuner/vibetuner
github.com/alma-cdk/aws-interface-endpoints,66343,@alma-cdk/aws-interface-endpoints,https://github.com/alma-cdk/aws-interface-endpoints#readme,git+https://github.com/alma-cdk/aws-interface-endpoints.git,20261,alma-cdk.aws-interface-endpoints,https://github.com/alma-cdk/aws-interface-endpoints.git,https://github.com/alma-cdk/aws-interface-endpoints.git
github.com/alma-cdk/cross-region-parameter,66344,@alma-cdk/cross-region-parameter,https://github.com/alma-cdk/cross-region-parameter#readme,git+https://github.com/alma-cdk/cross-region-parameter.git,20262,alma-cdk.cross-region-parameter,https://github.com/alma-cdk/cross-region-parameter.git,https://github.com/alma-cdk/cross-region-parameter.git
github.com/alma-cdk/domain,66345,@alma-cdk/domain,https://github.com/alma-cdk/domain#readme,git+https://github.com/alma-cdk/domain.git,20263,alma-cdk.domain,https://github.com/alma-cdk/domain.git,https://github.com/alma-cdk/domain.git
github.com/alma-cdk/openapix,66346,@alma-cdk/openapix,https://github.com/alma-cdk/openapix#readme,git+https://github.com/alma-cdk/openapix.git,20264,alma-cdk.openapix,https://github.com/alma-cdk/openapix.git,https://github.com/alma-cdk/openapix.git
github.com/alma-cdk/origin-verify,66347,@alma-cdk/origin-verify,https://github.com/alma-cdk/origin-verify#readme,git+https://github.com/alma-cdk/origin-verify.git,20265,alma-cdk.origin-verify,https://github.com/alma-cdk/origin-verify.git,https://github.com/alma-cdk/origin-verify.git
github.com/alma-cdk/project,66348,@alma-cdk/project,https://github.com/alma-cdk/project#readme,git+https://github.com/alma-cdk/project.git,20266,alma-cdk.project,https://github.com/alma-cdk/project.git,https://github.com/alma-cdk/project.git
github.com/alpinebuster/meshsdk,3407379,three-meshsdk-editor,https://github.com/alpinebuster/meshsdk#readme,git+https://github.com/alpinebuster/meshsdk.git,35430,asmesh,https://pypi.org/project/asmesh/,https://github.com/alpinebuster/meshsdk
github.com/ualbertaaltlab/cree-intelligent-dictionary,68171,@altlab/types,https://github.com/UAlbertaALTLab/cree-intelligent-dictionary#readme,git+https://github.com/UAlbertaALTLab/cree-intelligent-dictionary.git,371498,morphodict,https://github.com/UAlbertaALTLab/cree-intelligent-dictionary,https://github.com/UAlbertaALTLab/cree-intelligent-dictionary
github.com/alvasilvao/hex-address,68752,@alvarosilva/hex-address,https://hex-address-app.vercel.app/,git+https://github.com/alvasilvao/hex-address.git,263062,hex-address,https://pypi.org/project/hex-address/,https://github.com/alvasilvao/hex-address.git
github.com/aws-cloudformation/cloudformation-cli-typescript-plugin,70228,@amazon-web-services-cloudformation/cloudformation-cli-typescript-lib,https://github.com/aws-cloudformation/cloudformation-cli-typescript-plugin#readme,git+https://github.com/aws-cloudformation/cloudformation-cli-typescript-plugin.git,97403,cloudformation-cli-typescript-plugin,https://github.com/aws-cloudformation/cloudformation-cli-typescript-plugin,https://github.com/aws-cloudformation/cloudformation-cli-typescript-plugin
github.com/amphi-ai/jupyterlab-amphi,72114,@amphi/pipeline-metadata-panel,https://github.com/amphi-ai/jupyterlab-amphi,git+https://github.com/amphi-ai/jupyterlab-amphi.git,300352,jupyterlab-amphi,https://pypi.org/project/jupyterlab-amphi/,https://github.com/amphi-ai/jupyterlab-amphi.git
github.com/gokul-viswanathan/anonymask,79442,@anonymask/core-win32-x64-msvc,https://github.com/gokul-viswanathan/anonymask#readme,git+https://github.com/gokul-viswanathan/anonymask.git,24725,anonymask,https://pypi.org/project/anonymask/,https://github.com/gokul-viswanathan/anonymask.git
github.com/sw-registry-stack/sdk,766875,@nexstem/registry-stack,https://github.com/sw-registry-stack/sdk#readme,git+https://github.com/sw-registry-stack/sdk.git,25920,anthriq-registry-stack,https://github.com/sw-registry-stack/sdk,https://github.com/sw-registry-stack/sdk.git
github.com/antvis/gpt-vis,1235833,@yaonyan/gpt-vis-ssr-napi-rs,https://gpt-vis.antv.vision,git+https://github.com/antvis/GPT-Vis.git,622638,streamlit-gpt-vis,https://github.com/antvis/GPT-Vis/bindings/streamlit-gpt-vis,https://github.com/antvis/GPT-Vis/bindings/streamlit-gpt-vis
github.com/antvis/l7vp,1256731,@zbt123/detail-data-bar-chart,https://locationinsight.antv.antgroup.com,git+https://github.com/antvis/L7VP.git,504126,pyl7vp,https://github.com/antvis/L7VP/bindings/pyl7vp,https://github.com/antvis/L7VP/bindings/pyl7vp
github.com/aolney/jupyterlab-blockly-python-extension,83655,@aolney/jupyterlab-blockly-python-extension,https://github.com/aolney/jupyterlab-blockly-python-extension,git+https://github.com/aolney/jupyterlab-blockly-python-extension.git,26887,aolney-jupyterlab-blockly-python-extension,https://pypi.org/project/aolney-jupyterlab-blockly-python-extension/,https://github.com/aolney/jupyterlab-blockly-python-extension.git
github.com/aolney/jupyterlab-blockly-r-extension,83656,@aolney/jupyterlab-blockly-r-extension,https://github.com/aolney/jupyterlab-blockly-r-extension,git+https://github.com/aolney/jupyterlab-blockly-r-extension.git,26888,aolney-jupyterlab-blockly-r-extension,https://pypi.org/project/aolney-jupyterlab-blockly-r-extension/,https://github.com/aolney/jupyterlab-blockly-r-extension.git
github.com/aolney/jupyterlab-starchat-extension,83657,@aolney/jupyterlab-starchat-extension,https://github.com/aolney/jupyterlab-starchat-extension,git+https://github.com/aolney/jupyterlab-starchat-extension.git,26890,aolney-jupyterlab-starchat-extension,https://pypi.org/project/aolney-jupyterlab-starchat-extension/,https://github.com/aolney/jupyterlab-starchat-extension.git
github.com/jupyterlab/jupyterlab-git,2317391,jupyterlabtd_git,https://github.com/jupyterlab/jupyterlab-git,git+https://github.com/jupyterlab/jupyterlab-git.git,300512,jupyterlab-git-newland,https://github.com/jupyterlab/jupyterlab-git.git,https://github.com/jupyterlab/jupyterlab-git.git
github.com/aporthq/aport-sdks-and-middlewares,86623,@aporthq/sdk-node,https://aport.io,git+https://github.com/aporthq/aport-sdks-and-middlewares.git,29138,aporthq-sdk-python,https://pypi.org/project/aporthq-sdk-python/,https://github.com/aporthq/aport-sdks-and-middlewares
github.com/apploitech/partner-api,88078,@apploi/partner-api,https://github.com/apploitech/partner-api/tree/main/adapters/typescript,git+https://github.com/apploitech/partner-api.git,29610,apploitech-apploi-client,https://github.com/apploitech/partner-api,https://github.com/apploitech/partner-api/tree/main/adapters/python
github.com/aquirdturtle/collapsible_headings,89770,@aquirdturtle/collapsible_headings,https://github.com/aquirdTurtle/Collapsible_Headings,git+https://github.com/aquirdTurtle/Collapsible_Headings.git,30562,aquirdturtle-collapsible-headings,https://github.com/aquirdTurtle/Collapsible_Headings.git,https://github.com/aquirdTurtle/Collapsible_Headings.git
github.com/arize-ai/phoenix,528795,@iflow-mcp/arize-ai_phoenix,https://github.com/Arize-ai/phoenix/tree/main/js/packages/phoenix-mcp,git+https://github.com/Arize-ai/phoenix.git,275784,iflow-mcp_arize-phoenix,https://pypi.org/project/iflow-mcp_arize-phoenix/,https://github.com/Arize-ai/phoenix
github.com/arnos-stuff/jupyterlab-purple-wave-theme,100927,@arnos-stuff/jupyterlab-purple-wave-theme,https://github.com/arnos-stuff/jupyterlab-purple-wave-theme,git+https://github.com/arnos-stuff/jupyterlab-purple-wave-theme.git,300705,jupyterlab-purple-wave-theme,https://pypi.org/project/jupyterlab-purple-wave-theme/,https://github.com/arnos-stuff/jupyterlab-purple-wave-theme.git
github.com/artanis-ai/sdk,101716,@artanis-ai/sdk,https://artanis.ai,git+https://github.com/artanis-ai/sdk.git,33500,artanis-ai,https://pypi.org/project/artanis-ai/,https://github.com/artanis-ai/sdk
github.com/artissist/logger,102614,@artissist/logger,https://github.com/artissist/logger#readme,git+https://github.com/artissist/logger.git,33864,artissist-logger,https://github.com/artissist/logger,https://github.com/artissist/logger
github.com/ashish10alex/vscode-dataform-tools,105758,@ashishalex/dataform-tools,https://github.com/ashish10alex/vscode-dataform-tools/tree/main/packages/npm,git+https://github.com/ashish10alex/vscode-dataform-tools.git#main,129853,dataform-tools,https://pypi.org/project/dataform-tools/,https://github.com/ashish10alex/vscode-dataform-tools
github.com/breez/breez-sdk,224885,@cnixbtc/react-native-breez-sdk,https://breez.technology/,https://github.com/breez/breez-sdk,69435,breez-sdk-lib,https://github.com/breez/breez-sdk,https://github.com/breez/breez-sdk
github.com/atomicloud/sulfone.helium,112343,@atomicloud/cyan-sdk,https://github.com/AtomiCloud/sulfone.helium#readme,git+https://github.com/AtomiCloud/sulfone.helium.git,124272,cyanprintsdk,https://docs.cyanprint.dev,https://github.com/AtomiCloud/sulfone.helium
github.com/cruxcode/atrilabs-engine,1879375,eslint-plugin-atrilabs,https://github.com/cruxcode/atrilabs-engine#readme,git+https://github.com/cruxcode/atrilabs-engine.git,39289,atri-react,https://github.com/cruxcode/atrilabs-engine#readme,https://github.com/cruxcode/atrilabs-engine.git
github.com/aurite-ai/aurite-agents,114891,@aurite-ai/api-client,https://aurite.ai,git+https://github.com/aurite-ai/aurite-agents.git,40448,aurite,https://aurite-ai.github.io/aurite-agents/,https://github.com/Aurite-ai/aurite-agents
github.com/loonghao/auroraview,115234,@auroraview/sdk,https://github.com/loonghao/auroraview#readme,git+https://github.com/loonghao/auroraview.git,40515,auroraview-mcp,https://pypi.org/project/auroraview-mcp/,https://github.com/loonghao/auroraview
github.com/auth-agent/auth-agent,1396875,auth-agent-sdk,https://docs.auth-agent.com,git+https://github.com/auth-agent/auth-agent.git,40654,auth-agent-sdk,https://github.com/auth-agent/auth-agent,https://github.com/auth-agent/auth-agent
github.com/autograders/cli,116778,@autograders/cli,https://github.com/autograders/cli#readme,git+https://github.com/autograders/cli.git,42018,autograders-cli,https://github.com/autograders/cli/,https://github.com/autograders/cli/
github.com/namastexlabs/automagik-telemetry,1400769,automagik-telemetry,https://github.com/namastexlabs/automagik-telemetry#readme,git+https://github.com/namastexlabs/automagik-telemetry.git,42283,automagik-telemetry,https://pypi.org/project/automagik-telemetry/,https://github.com/namastexlabs/automagik-telemetry/tree/main/python
github.com/autonomize-ai/shared-dto-models,117568,@autonomize/shared-dto-models,https://github.com/autonomize-ai/shared-dto-models#readme,git+https://github.com/autonomize-ai/shared-dto-models.git,42779,autonomize-ai-shared-dto-models,https://github.com/autonomize-ai/shared-dto-models,https://github.com/autonomize-ai/shared-dto-models
github.com/awlsring/cdk-aws-discord-notifiers,120318,@awlsring/cdk-aws-discord-notifiers,https://github.com/awlsring/cdk-aws-discord-notifiers#readme,git+https://github.com/awlsring/cdk-aws-discord-notifiers.git,82720,cdk-aws-discord-notifiers,https://github.com/awlsring/cdk-aws-discord-notifiers.git,https://github.com/awlsring/cdk-aws-discord-notifiers.git
github.com/awlsring/cdk8s-valheim,120319,@awlsring/cdk8s-valheim,https://github.com/awlsring/cdk8s-valheim#readme,git+https://github.com/awlsring/cdk8s-valheim.git,82703,cdk8s-valheim,https://github.com/awlsring/cdk8s-valheim.git,https://github.com/awlsring/cdk8s-valheim.git
github.com/awlsring/cdktf-github-actions,120320,@awlsring/cdktf-github-actions,https://github.com/awlsring/cdktf-github-actions#readme,git+https://github.com/awlsring/cdktf-github-actions.git,83215,cdktf-github-actions,https://github.com/awlsring/cdktf-github-actions.git,https://github.com/awlsring/cdktf-github-actions.git
github.com/awlsring/cdktf-proxmox,120321,@awlsring/cdktf-proxmox,https://github.com/awlsring/cdktf-proxmox#readme,git+https://github.com/awlsring/cdktf-proxmox.git,83225,cdktf-proxmox,https://github.com/awlsring/cdktf-proxmox.git,https://github.com/awlsring/cdktf-proxmox.git
github.com/aws/amazon-codeguru-jupyterlab-extension,122438,@aws/amazon-codeguru-extension,https://github.com/aws/amazon-codeguru-jupyterlab-extension,git+https://github.com/aws/amazon-codeguru-jupyterlab-extension.git,21493,amazon-codeguru-jupyterlab-extension,https://pypi.org/project/amazon-codeguru-jupyterlab-extension/,https://github.com/aws/amazon-codeguru-jupyterlab-extension.git
github.com/awslabs/run-model-context-protocol-servers-with-aws-lambda,122557,@aws/run-mcp-servers-with-aws-lambda,https://github.com/awslabs/run-model-context-protocol-servers-with-aws-lambda,git+https://github.com/awslabs/run-model-context-protocol-servers-with-aws-lambda.git,567035,run-mcp-servers-with-aws-lambda,https://pypi.org/project/run-mcp-servers-with-aws-lambda/,https://github.com/awslabs/run-model-context-protocol-servers-with-aws-lambda
github.com/jupyterlab-contrib/jupyterlab-vim,123837,@axlair/jupyterlab_vim,https://github.com/jupyterlab-contrib/jupyterlab-vim,git+https://github.com/jupyterlab-contrib/jupyterlab-vim.git,300834,jupyterlab-vim,https://pypi.org/project/jupyterlab-vim/,https://github.com/jupyterlab-contrib/jupyterlab-vim.git
github.com/ayurak/aribot-cli,124957,@ayurak/aribot-mcp,https://aribot.ayurak.com,git+https://github.com/ayurak/aribot-cli.git,32471,aribot-cli,https://pypi.org/project/aribot-cli/,https://github.com/ayurak/aribot-cli
github.com/anthropics/bashlet,134654,@bashlet/sdk,https://github.com/anthropics/bashlet#readme,git+https://github.com/anthropics/bashlet.git,51725,bashlet,https://pypi.org/project/bashlet/,https://github.com/anthropics/bashlet
github.com/beamer-bridge/beamer,137684,@beamer-bridge/deployments,https://github.com/beamer-bridge/beamer#readme,git+https://github.com/beamer-bridge/beamer.git,54045,beamer-bridge,https://www.beamerbridge.com/,https://github.com/beamer-bridge/beamer
github.com/beeflow/beeflowajaxpy,138853,@beeflow/beeflow_ajax_js,https://github.com/beeflow/BeeflowAjaxPy#readme,git+https://github.com/beeflow/BeeflowAjaxPy.git,54732,beeflow-ajax,https://github.com/beeflow/BeeflowAjaxPy,https://github.com/beeflow/BeeflowAjaxPy
github.com/a2abaseai/sdks,1275719,a2abase,https://github.com/A2ABaseAI/sdks,git+https://github.com/A2ABaseAI/sdks.git,51303,baseai-sdk,https://pypi.org/project/baseai-sdk/,https://github.com/A2ABaseAI/sdks.git
github.com/bharatr21/mcp-nvidia,146309,@bharatr21/mcp-nvidia,https://github.com/bharatr21/mcp-nvidia#readme,git+https://github.com/bharatr21/mcp-nvidia.git,348792,mcp-nvidia,https://pypi.org/project/mcp-nvidia/,https://github.com/bharatr21/mcp-nvidia.git
github.com/superclaude-org/superclaude_framework,1055414,@superclaude-org/superclaude,https://github.com/SuperClaude-Org/SuperClaude_Framework#readme,git+https://github.com/SuperClaude-Org/SuperClaude_Framework.git,626715,superclaude,https://pypi.org/project/superclaude/,https://github.com/SuperClaude-Org/SuperClaude_Framework
github.com/yourusername/your-package-name,2877408,pqc-kyber90s512,https://github.com/yourusername/your-package-name#readme,git+https://github.com/yourusername/your-package-name.git,676210,uniboost,https://github.com/yourusername/your-package-name,https://github.com/yourusername/your-package-name
github.com/sound-x-team/x-pay-integrations,152171,@bits-innovate/xpay-javascript,https://docs.x-pay.com/sdks/javascript,git+https://github.com/Sound-X-Team/x-pay-integrations.git,712061,xpay-python-sdk,https://pypi.org/project/xpay-python-sdk/,https://github.com/Sound-X-Team/x-pay-integrations
github.com/blackprint/remote-control,154168,@blackprint/remote-control,https://github.com/Blackprint/remote-control#readme,git+https://github.com/Blackprint/remote-control.git,61769,blackprint-rc,https://github.com/Blackprint/remote-control,https://github.com/Blackprint/remote-control
github.com/helloblueai/bleu.js,155266,@bleujs/framework,https://github.com/HelloblueAI/Bleu.js#readme,git+https://github.com/HelloblueAI/Bleu.js.git,62297,bleujs-utils,https://github.com/HelloblueAI/Bleu.js,https://github.com/HelloblueAI/Bleu.js
github.com/blimmer/cdk-circleci-oidc,155305,@blimmer/cdk-circleci-oidc,https://github.com/blimmer/cdk-circleci-oidc#readme,git+https://github.com/blimmer/cdk-circleci-oidc.git,82737,cdk-circleci-oidc,https://github.com/blimmer/cdk-circleci-oidc.git,https://github.com/blimmer/cdk-circleci-oidc.git
github.com/blimmer/cdk-github-oidc,155306,@blimmer/cdk-github-oidc,https://github.com/blimmer/cdk-github-oidc#readme,git+https://github.com/blimmer/cdk-github-oidc.git,83005,cdk-github-oidc,https://github.com/blimmer/cdk-github-oidc.git,https://github.com/blimmer/cdk-github-oidc.git
github.com/blimmer/cdk-static-wordpress,155307,@blimmer/cdk-static-wordpress,https://github.com/blimmer/cdk-static-wordpress#readme,git+https://github.com/blimmer/cdk-static-wordpress.git,83152,cdk-static-wordpress,https://github.com/blimmer/cdk-static-wordpress.git,https://github.com/blimmer/cdk-static-wordpress.git
github.com/blockchain-certificates/cert-schema,155930,@blockcerts/schemas,https://github.com/blockchain-certificates/cert-schema#readme,git+https://github.com/blockchain-certificates/cert-schema.git,85538,cert-schema_pastday,https://github.com/blockchain-certificates/cert-schema,https://github.com/blockchain-certificates/cert-schema
github.com/blogger-mon/sdk,156878,@blogger-mon/sdk,https://bloggermon.com,git+https://github.com/blogger-mon/sdk.git,62944,blogger-mon-sdk-py,https://pypi.org/project/blogger-mon-sdk-py/,https://github.com/blogger-mon/sdk
github.com/bluedynamics/cdk8s-plone,158034,@bluedynamics/cdk8s-plone,https://github.com/bluedynamics/cdk8s-plone#readme,git+https://github.com/bluedynamics/cdk8s-plone.git,82681,cdk8s-plone,https://github.com/bluedynamics/cdk8s-plone.git,https://github.com/bluedynamics/cdk8s-plone.git
github.com/bm1314/passshare,158956,@bm1314/passshare-core,https://pass-share.bm1314.net,git+https://github.com/bm1314/passshare.git,450227,passshare,https://pypi.org/project/passshare/,https://github.com/bm1314/passshare
github.com/hvitgar/pulumi-onepassword,159090,@bmitzkus/pulumi-onepassword,https://www.pulumi.com,git+https://github.com/Hvitgar/pulumi-onepassword.git,63902,bmitzkus-pulumi-onepassword,https://www.pulumi.com,https://github.com/Hvitgar/pulumi-onepassword
github.com/bobanetwork/aa-hc-sdk,159811,@bobanetwork/aa-hc-sdk-server,https://github.com/bobanetwork/aa-hc-sdk#readme,git+https://github.com/bobanetwork/aa-hc-sdk.git,271629,hybrid-compute-sdk,https://github.com/bobanetwork/aa-hc-sdk,https://github.com/bobanetwork/aa-hc-sdk
github.com/bobmatnyc/claude-mpm,1572724,claude-mpm,https://github.com/bobmatnyc/claude-mpm,git+https://github.com/bobmatnyc/claude-mpm.git,94503,claude-mpm,https://pypi.org/project/claude-mpm/,https://github.com/bobmatnyc/claude-mpm.git
github.com/bobmatnyc/claude-multiagent-pm,1572726,claude-multiagent-pm,https://github.com/bobmatnyc/claude-multiagent-pm#readme,git+https://github.com/bobmatnyc/claude-multiagent-pm.git,94504,claude-multiagent-pm,https://pypi.org/project/claude-multiagent-pm/,https://github.com/bobmatnyc/claude-multiagent-pm
github.com/bokeh/ipywidgets_bokeh,160885,@bokeh/ipywidgets_bokeh,https://github.com/bokeh/ipywidgets_bokeh#readme,git+https://github.com/bokeh/ipywidgets_bokeh.git,287774,ipywidgets-bokeh,https://github.com/bokeh/ipywidgets_bokeh,https://github.com/bokeh/ipywidgets_bokeh
github.com/bokeh/jupyter_bokeh,160886,@bokeh/jupyter_bokeh,https://github.com/bokeh/jupyter_bokeh,git+https://github.com/bokeh/jupyter_bokeh.git,299990,jupyter_bokeh,https://pypi.org/project/jupyter_bokeh/,https://github.com/bokeh/jupyter_bokeh.git
github.com/boxlite-ai/boxlite,164451,@boxlite-ai/boxlite-linux-x64-gnu,https://github.com/boxlite-ai/boxlite#readme,git+https://github.com/boxlite-ai/boxlite.git,68189,boxlite,https://pypi.org/project/boxlite/,https://github.com/boxlite-ai/boxlite
github.com/braintrustdata/braintrust-sdk,1486640,braintrust,https://www.braintrust.dev/docs,git+https://github.com/braintrustdata/braintrust-sdk.git,69028,braintrust-langchain,https://pypi.org/project/braintrust-langchain/,https://github.com/braintrustdata/braintrust-sdk
github.com/breez/breez-sdk-liquid,167083,@breeztech/react-native-breez-sdk-liquid,https://breez.technology/,https://github.com/breez/breez-sdk-liquid,69436,breez-sdk-liquid,https://github.com/breez/breez-sdk-liquid,https://github.com/breez/breez-sdk-liquid
github.com/breez/spark-sdk,167080,@breeztech/breez-sdk-spark-react-native,https://github.com/breez/spark-sdk#readme,git+https://github.com/breez/spark-sdk.git,69437,breez-sdk-spark,https://github.com/breez/spark-sdk,https://github.com/breez/spark-sdk
github.com/breez/breez-liquid-sdk,167081,@breeztech/react-native-breez-liquid-sdk,https://breez.technology/,https://github.com/breez/breez-liquid-sdk,69432,breez-liquid-sdk,https://github.com/breez/breez-liquid-sdk,https://github.com/breez/breez-liquid-sdk
