PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
64775,boilerpl8,https://github.com/kwatch/boilerpl8/tree/python,https://github.com/kwatch/boilerpl8/tree/python,17823,boilerpl8,https://github.com/kwatch/boilerpl8/tree/ruby,https://github.com/kwatch/boilerpl8/tree/ruby
77173,cali,http://github.com/holizz/cali,http://github.com/holizz/cali,21491,cali,http://github.com/holizz/cali,http://github.com/holizz/cali
83328,cdnget,https://github.com/kwatch/cdnget/tree/python,https://github.com/kwatch/cdnget/tree/python,24529,cdnget,https://github.com/kwatch/cdnget/tree/ruby-release,https://github.com/kwatch/cdnget/tree/ruby-release
84620,centroid,https://github.com/ResourceDataInc/Centroid,https://github.com/ResourceDataInc/Centroid,24747,centroid,https://github.com/ResourceDataInc/Centroid,https://github.com/ResourceDataInc/Centroid
92640,Cirron,https://github.com/s7nfo/Cirron,https://github.com/s7nfo/Cirron,26918,cirron,https://github.com/s7nfo/Cirron,https://github.com/s7nfo/Cirron
98953,cmc-client,https://github.com/wilkosz/coinmarketcap_api_sdks/tree/master/python,https://github.com/wilkosz/coinmarketcap_api_sdks/tree/master/python,29695,coinmarketcap_client,https://github.com/wilkosz/coinmarketcap_api_sdks/tree/master/ruby,https://github.com/wilkosz/coinmarketcap_api_sdks/tree/master/ruby
100722,cocoapods-graph,https://github.com/erickjung/cocoapods-graph,https://github.com/erickjung/cocoapods-graph,28820,cocoapods-graph,https://github.com/erickjung/cocoapods-graph,https://github.com/erickjung/cocoapods-graph
106471,commandt.score,https://github.com/wincent/command-t/tree/python/score,https://github.com/wincent/command-t/tree/python/score,30289,command-t,https://github.com/wincent/command-t,https://github.com/wincent/command-t
113057,cornfig,http://github.com/echohead/cornfig,http://github.com/echohead/cornfig,32364,cornfig,https://github.com/echohead/cornfig,https://github.com/echohead/cornfig
294701,jinja-moj-template,https://github.com/ministryofjustice/moj_template,https://github.com/ministryofjustice/moj_template,102746,moj_template,https://github.com/ministryofjustice/moj_template,https://github.com/ministryofjustice/moj_template
165812,django-widget_list,https://github.com/davidrenne/widget_list,https://github.com/davidrenne/widget_list,183540,widget_list,https://github.com/davidrenne/widget_list,https://github.com/davidrenne/widget_list
186486,elasticgraph-mcp-server,https://pypi.org/project/elasticgraph-mcp-server/,https://github.com/block/elasticgraph,45546,elasticgraph-support,https://block.github.io/elasticgraph/,https://github.com/block/elasticgraph/tree/v1.0.2/elasticgraph-support
189813,endoflifedate,https://github.com/oapicf/endoflife.date-api-clients,https://github.com/oapicf/endoflife.date-api-clients,47239,endoflife_date,https://github.com/oapicf/endoflife.date-api-clients,https://github.com/oapicf/endoflife.date-api-clients
190705,ensime_launcher,http://github.com/ensime/ensime-vim,http://github.com/ensime/ensime-vim,47500,ensime_bridge,http://github.com/ensime/ensime-vim,http://github.com/ensime/ensime-vim
238375,gesture,https://github.com/orklann/gesture,https://github.com/orklann/gesture,61580,gesture,https://github.com/orklann/gesture,https://github.com/orklann/gesture
246227,golumn,https://github.com/ddrscott/golumn,https://github.com/ddrscott/golumn,64279,golumn,https://github.com/ddrscott/golumn,https://github.com/ddrscott/golumn
252922,grpcgreeter,https://github.com/stackmachine/greeter,https://github.com/stackmachine/greeter,67429,grpcgreeter,https://github.com/stackmachine/greeter,https://github.com/stackmachine/greeter
252407,grnexus,https://pypi.org/project/grnexus/,https://github.com/grcodedigitalsolutions/GRNexus,67208,grnexus,https://github.com/grcodedigitalsolutions/GRNexus,https://github.com/grcodedigitalsolutions/GRNexus/tree/main/ruby
252565,Groove-dl,https://github.com/PierreRambaud/groove-dl,https://github.com/PierreRambaud/groove-dl,67260,groove-dl,http://github.com/PierreRambaud/groove-dl,http://github.com/PierreRambaud/groove-dl
256879,halchemy,https://github.com/pointw-dev/halchemy,https://github.com/pointw-dev/halchemy,68623,halchemy,https://github.com/pointw-dev/halchemy,https://github.com/pointw-dev/halchemy
265013,hit,https://github.com/soimort/hit,https://github.com/soimort/hit,71657,hit,https://github.com/soimort/hit,https://github.com/soimort/hit
272082,hyhyhy,https://github.com/MaciejCzyzewski/hyhyhy,https://github.com/MaciejCzyzewski/hyhyhy,74700,hyhyhy,https://github.com/maciejczyzewski/hyhyhy,https://github.com/maciejczyzewski/hyhyhy
296347,jones,https://github.com/mwhooker/jones,https://github.com/mwhooker/jones,82824,jones,https://github.com/mwhooker/jones,https://github.com/mwhooker/jones
302609,KafNafParserPy,https://github.com/cltl/KafNafParserPy,https://github.com/cltl/KafNafParserPy,114801,opener-kaf-naf-parser,http://github.com/cltl/KafNafParserPy,http://github.com/cltl/KafNafParserPy
323759,libzdb,https://github.com/paulasmuth/zdb,https://github.com/paulasmuth/zdb,188117,zdb,http://github.com/paulasmuth/zdb,http://github.com/paulasmuth/zdb
325811,lingy,https://github.com/ingydotnet/lingy,https://github.com/ingydotnet/lingy,90769,lingy,https://github.com/ingydotnet/lingy,https://github.com/ingydotnet/lingy
349678,mcp-ui-server,https://pypi.org/project/mcp-ui-server/,https://github.com/idosal/mcp-ui,97864,mcp_ui_server,https://github.com/idosal/mcp-ui,https://github.com/idosal/mcp-ui
653247,TkinterTabMore,https://github.com/ 你的用户名/TkinterTabMore,https://github.com/ 你的用户名/TkinterTabMore,187831,yunoe,http://github.com/#{github_username}/#{project_name},http://github.com/#{github_username}/#{project_name}
362649,mkbok,https://github.com/larrycai/mkbok,https://github.com/larrycai/mkbok,101819,mkbok,http://github.com/larrycai/mkbok,http://github.com/larrycai/mkbok
386778,natswork-server,https://pypi.org/project/natswork-server/,https://github.com/tesote/nats-work,107472,natswork-server,https://github.com/tesote/nats-work,https://github.com/tesote/nats-work
393923,neverfails,https://github.com/claudiob/neverfails/,https://github.com/claudiob/neverfails/,108593,neverfails,https://github.com/claudiob/neverfails/tree/rails,https://github.com/claudiob/neverfails/tree/rails
395569,ngsci,https://github.com/MatthewRalston/ngs-ci,https://github.com/MatthewRalston/ngs-ci,109099,ngs-ci,https://rubygems.org/gems/ngs-ci,http://github.com/MatthewRalston/ngs-ci
443836,oyez,https://github.com/org-binbab/oyez,https://github.com/org-binbab/oyez,116620,oyez,http://code.binbab.org,https://github.com/org-binbab/oyez
445226,packj,https://github.com/ossillate-inc/packj,https://github.com/ossillate-inc/packj,116807,packj,https://github.com/ossillate-inc/packj,https://github.com/ossillate-inc/packj
461609,pinterestsdk,https://github.com/cliffano/pinterest-sdk,https://github.com/cliffano/pinterest-sdk,121201,pinterest_sdk,https://github.com/cliffano/pinterest-sdk,https://github.com/cliffano/pinterest-sdk
483368,pulp-ansible,https://pypi.org/project/pulp-ansible/,https://github.com/pulp/pulp_ansible,125826,pulp_ansible_client,https://github.com/pulp/pulp_ansible,https://github.com/pulp/pulp_ansible
483379,pulp-container,https://pypi.org/project/pulp-container/,https://github.com/pulp/pulp_container,125828,pulp_container_client,https://github.com/pulp/pulp_container,https://github.com/pulp/pulp_container
483383,pulpcore,https://pypi.org/project/pulpcore/,https://github.com/pulp/pulpcore,125830,pulpcore_client,https://github.com/pulp/pulpcore,https://github.com/pulp/pulpcore
483390,pulp-deb,https://pypi.org/project/pulp-deb/,https://github.com/pulp/pulp_deb,125831,pulp_deb_client,https://github.com/pulp/pulp_deb,https://github.com/pulp/pulp_deb
483401,pulp-gem,https://pypi.org/project/pulp-gem/,https://github.com/pulp/pulp_gem,125834,pulp_gem_client,https://github.com/pulp/pulp_gem,https://github.com/pulp/pulp_gem
483409,pulp-hugging-face,https://pypi.org/project/pulp-hugging-face/,https://github.com/pulp/pulp_hugging_face,125835,pulp_hugging_face_client,https://github.com/pulp/pulp_hugging_face,https://github.com/pulp/pulp_hugging_face
483412,pulp-maven,https://pypi.org/project/pulp-maven/,https://github.com/pulp/pulp_maven,125836,pulp_maven_client,https://github.com/pulp/pulp_maven,https://github.com/pulp/pulp_maven
483415,pulp-npm,https://pypi.org/project/pulp-npm/,https://github.com/pulp/pulp_npm,125837,pulp_npm_client,https://github.com/pulp/pulp_npm,https://github.com/pulp/pulp_npm
483423,pulp-ostree,https://pypi.org/project/pulp-ostree/,https://github.com/pulp/pulp_ostree,125838,pulp_ostree_client,https://github.com/pulp/pulp_ostree,https://github.com/pulp/pulp_ostree
483431,pulp-python,https://pypi.org/project/pulp-python/,https://github.com/pulp/pulp_python,125839,pulp_python_client,https://github.com/pulp/pulp_python,https://github.com/pulp/pulp_python
483435,pulp-rpm,https://pypi.org/project/pulp-rpm/,https://github.com/pulp/pulp_rpm,125840,pulp_rpm_client,https://github.com/pulp/pulp_rpm,https://github.com/pulp/pulp_rpm
568965,sa11y,https://github.com/saucelabs/sa11y,https://github.com/saucelabs/sa11y,146395,sa11y,https://github.com/saucelabs/sa11y,https://github.com/saucelabs/sa11y/blob/main/ruby/
594273,simplesauce,https://github.com/saucelabs/simple_sauce/,https://github.com/saucelabs/simple_sauce/,154286,simple_sauce,https://github.com/saucelabs/simple_sauce,https://github.com/saucelabs/simple_sauce
615078,squash_matrix_api,https://github.com/wilkosz/squash_matrix_io_sdks/tree/master/python,https://github.com/wilkosz/squash_matrix_io_sdks/tree/master/python,160890,squash_matrix_api,https://github.com/wilkosz/squash_matrix_io_sdks/tree/master/ruby,https://github.com/wilkosz/squash_matrix_io_sdks/tree/master/ruby
628469,swaggeraemosgi,https://github.com/shinesolutions/swagger-aem-osgi/tree/master/python,https://github.com/shinesolutions/swagger-aem-osgi/tree/master/python,164900,swagger_aem_osgi,https://github.com/shinesolutions/swagger-aem-osgi/tree/master/clients/ruby,https://github.com/shinesolutions/swagger-aem-osgi/tree/master/clients/ruby
679735,UsbLamp,https://github.com/PierreRambaud/usblamp,https://github.com/PierreRambaud/usblamp,177278,usblamp,https://github.com/PierreRambaud/usblamp,https://github.com/PierreRambaud/usblamp
681817,v8eval,https://github.com/sony/v8eval,https://github.com/sony/v8eval,177743,v8eval,https://github.com/sony/v8eval,https://github.com/sony/v8eval
694026,waluigi-facade,https://github.com/0xddom/waluigi,https://github.com/0xddom/waluigi,181529,waluigi,https://github.com/0xddom/waluigi,https://github.com/0xddom/waluigi
712439,xremotebot,https://github.com/fernandolopez/xremotebot-clients,https://github.com/fernandolopez/xremotebot-clients,186229,xremotebot,https://github.com/fernandolopez/xremotebot-clients,https://github.com/fernandolopez/xremotebot-clients
713445,xxtea,https://github.com/ifduyue/xxtea,https://github.com/ifduyue/xxtea,186333,xxtea,http://github.com/ifduyue/xxtea,http://github.com/ifduyue/xxtea
715845,yawast,https://github.com/adamcaudill/yawast,https://github.com/adamcaudill/yawast,187112,yawast,https://github.com/adamcaudill/yawast,https://github.com/adamcaudill/yawast
