Ecosystem Count,Ecosystems,Package Count,Output File
4,Crates + Go + Maven + NPM,17,4_ecosystems/Crates_Go_Maven_NPM.csv
4,Crates + Go + Maven + PyPI,5,4_ecosystems/Crates_Go_Maven_PyPI.csv
4,Crates + Go + Maven + Ruby,1,4_ecosystems/Crates_Go_Maven_Ruby.csv
4,Crates + Go + NPM + PHP,2,4_ecosystems/Crates_Go_NPM_PHP.csv
4,Crates + Go + NPM + PyPI,45,4_ecosystems/Crates_Go_NPM_PyPI.csv
4,Crates + Go + NPM + Ruby,6,4_ecosystems/Crates_Go_NPM_Ruby.csv
4,Crates + Go + PHP + PyPI,1,4_ecosystems/Crates_Go_PHP_PyPI.csv
4,Crates + Go + PHP + Ruby,1,4_ecosystems/Crates_Go_PHP_Ruby.csv
4,Crates + Go + PyPI + Ruby,2,4_ecosystems/Crates_Go_PyPI_Ruby.csv
4,Crates + Maven + NPM + PyPI,13,4_ecosystems/Crates_Maven_NPM_PyPI.csv
4,Crates + Maven + NPM + Ruby,1,4_ecosystems/Crates_Maven_NPM_Ruby.csv
4,Crates + NPM + PHP + PyPI,1,4_ecosystems/Crates_NPM_PHP_PyPI.csv
4,Crates + NPM + PHP + Ruby,1,4_ecosystems/Crates_NPM_PHP_Ruby.csv
4,Crates + NPM + PyPI + Ruby,25,4_ecosystems/Crates_NPM_PyPI_Ruby.csv
4,Crates + PHP + PyPI + Ruby,1,4_ecosystems/Crates_PHP_PyPI_Ruby.csv
4,Go + Maven + NPM + PHP,47,4_ecosystems/Go_Maven_NPM_PHP.csv
4,Go + Maven + NPM + PyPI,206,4_ecosystems/Go_Maven_NPM_PyPI.csv
4,Go + Maven + NPM + Ruby,24,4_ecosystems/Go_Maven_NPM_Ruby.csv
4,Go + Maven + PHP + Ruby,1,4_ecosystems/Go_Maven_PHP_Ruby.csv
4,Go + Maven + PyPI + Ruby,4,4_ecosystems/Go_Maven_PyPI_Ruby.csv
4,Go + NPM + PHP + PyPI,2,4_ecosystems/Go_NPM_PHP_PyPI.csv
4,Go + NPM + PHP + Ruby,1,4_ecosystems/Go_NPM_PHP_Ruby.csv
4,Go + NPM + PyPI + Ruby,9,4_ecosystems/Go_NPM_PyPI_Ruby.csv
4,Maven + NPM + PHP + PyPI,6,4_ecosystems/Maven_NPM_PHP_PyPI.csv
4,Maven + NPM + PHP + Ruby,1,4_ecosystems/Maven_NPM_PHP_Ruby.csv
4,Maven + NPM + PyPI + Ruby,7,4_ecosystems/Maven_NPM_PyPI_Ruby.csv
4,NPM + PHP + PyPI + Ruby,2,4_ecosystems/NPM_PHP_PyPI_Ruby.csv
5,Crates + Go + Maven + NPM + PHP,2,5_ecosystems/Crates_Go_Maven_NPM_PHP.csv
5,Crates + Go + Maven + NPM + PyPI,22,5_ecosystems/Crates_Go_Maven_NPM_PyPI.csv
5,Crates + Go + Maven + NPM + Ruby,4,5_ecosystems/Crates_Go_Maven_NPM_Ruby.csv
5,Crates + Go + Maven + PyPI + Ruby,2,5_ecosystems/Crates_Go_Maven_PyPI_Ruby.csv
5,Crates + Go + NPM + PHP + PyPI,2,5_ecosystems/Crates_Go_NPM_PHP_PyPI.csv
5,Crates + Go + NPM + PHP + Ruby,1,5_ecosystems/Crates_Go_NPM_PHP_Ruby.csv
5,Crates + Go + NPM + PyPI + Ruby,11,5_ecosystems/Crates_Go_NPM_PyPI_Ruby.csv
5,Crates + Go + PHP + PyPI + Ruby,1,5_ecosystems/Crates_Go_PHP_PyPI_Ruby.csv
5,Crates + Maven + NPM + PyPI + Ruby,2,5_ecosystems/Crates_Maven_NPM_PyPI_Ruby.csv
5,Crates + Maven + PHP + PyPI + Ruby,1,5_ecosystems/Crates_Maven_PHP_PyPI_Ruby.csv
5,Crates + NPM + PHP + PyPI + Ruby,2,5_ecosystems/Crates_NPM_PHP_PyPI_Ruby.csv
5,Go + Maven + NPM + PHP + PyPI,2,5_ecosystems/Go_Maven_NPM_PHP_PyPI.csv
5,Go + Maven + NPM + PHP + Ruby,1,5_ecosystems/Go_Maven_NPM_PHP_Ruby.csv
5,Go + Maven + NPM + PyPI + Ruby,11,5_ecosystems/Go_Maven_NPM_PyPI_Ruby.csv
5,Go + NPM + PHP + PyPI + Ruby,2,5_ecosystems/Go_NPM_PHP_PyPI_Ruby.csv
6,Crates + Go + Maven + NPM + PHP + PyPI,1,6_ecosystems/Crates_Go_Maven_NPM_PHP_PyPI.csv
6,Crates + Go + Maven + NPM + PyPI + Ruby,7,6_ecosystems/Crates_Go_Maven_NPM_PyPI_Ruby.csv
6,Crates + Go + NPM + PHP + PyPI + Ruby,3,6_ecosystems/Crates_Go_NPM_PHP_PyPI_Ruby.csv
6,Go + Maven + NPM + PHP + PyPI + Ruby,2,6_ecosystems/Go_Maven_NPM_PHP_PyPI_Ruby.csv
7,Crates + Go + Maven + NPM + PHP + PyPI + Ruby,6,7_ecosystems/Crates_Go_Maven_NPM_PHP_PyPI_Ruby.csv
