Normalized_URL,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo,Ruby_ID,Ruby_Name,Ruby_Homepage,Ruby_Repo
github.com/pepicrft/liquidz,2421915,liquidz,https://github.com/pepicrft/liquidz#readme,git+https://github.com/pepicrft/liquidz.git,326766,liquidz,https://pypi.org/project/liquidz/,https://github.com/pepicrft/liquidz,91075,liquidz,https://github.com/pepicrft/liquidz,https://github.com/pepicrft/liquidz
github.com/paulasmuth/metrictools,2523590,metrictools,https://github.com/paulasmuth/metrictools#readme,git+https://github.com/paulasmuth/metrictools.git,356226,metrictools,https://github.com/paulasmuth/metrictools,https://github.com/paulasmuth/metrictools,99516,metrictools,http://github.com/paulasmuth/metrictools,http://github.com/paulasmuth/metrictools
github.com/miscreant/miscreant,2541346,miscreant,https://github.com/miscreant/miscreant/tree/master/js/,git+https://github.com/miscreant/miscreant.git,361698,miscreant,https://github.com/miscreant/miscreant/tree/master/python/,https://github.com/miscreant/miscreant/tree/master/python/,101514,miscreant,https://github.com/miscreant/miscreant/tree/master/ruby/,https://github.com/miscreant/miscreant/tree/master/ruby/
github.com/tomi77/protobuf-gis,2901427,protobuf-gis,https://github.com/tomi77/protobuf-gis/js/,git+https://github.com/tomi77/protobuf-gis.git,480150,protobuf-gis,https://github.com/tomi77/protobuf-gis,https://github.com/tomi77/protobuf-gis,62261,gis-protobuf,https://github.com/tomi77/protobuf-gis/,https://github.com/tomi77/protobuf-gis/
github.com/tradik/schema-resume,3152924,schema-resume-validator,https://schema-resume.org/,git+https://github.com/tradik/schema-resume.git,575034,schema-resume-validator,https://schema-resume.org/,https://github.com/tradik/schema-resume,148053,schema-resume-validator,https://schema-resume.org/,https://github.com/tradik/schema-resume
github.com/rhysd/set-git-hooks-dir,3179861,set-git-hooks-dir,https://github.com/rhysd/set-git-hooks-dir#readme,git+https://github.com/rhysd/set-git-hooks-dir.git,585558,set-git-hooks-dir,https://pypi.org/project/set-git-hooks-dir/,https://github.com/rhysd/set-git-hooks-dir.git,151166,set_git_hooks_dir,https://github.com/rhysd/set-git-hooks-dir,https://github.com/rhysd/set-git-hooks-dir/tree/main/ruby
github.com/asg017/sqlite-lines,3264169,sqlite-lines-linux-x64,https://github.com/asg017/sqlite-lines#readme,git+https://github.com/asg017/sqlite-lines.git,614216,sqlite-lines,https://github.com/asg017/sqlite-lines,https://github.com/asg017/sqlite-lines,160708,sqlite-lines,https://github.com/asg017/sqlite-lines,https://github.com/asg017/sqlite-lines
github.com/asg017/sqlite-path,3264209,sqlite-path-windows-x64,https://github.com/asg017/sqlite-path#readme,git+https://github.com/asg017/sqlite-path.git,614251,sqlite-path,https://github.com/asg017/sqlite-path,https://github.com/asg017/sqlite-path,160712,sqlite-path,https://github.com/asg017/sqlite-path,https://github.com/asg017/sqlite-path
github.com/asg017/sqlite-url,3264316,sqlite-url-linux-x64,https://github.com/asg017/sqlite-url#readme,git+https://github.com/asg017/sqlite-url.git,614292,sqlite-url,https://github.com/asg017/sqlite-url,https://github.com/asg017/sqlite-url,160723,sqlite-url,https://github.com/asg017/sqlite-url,https://github.com/asg017/sqlite-url
github.com/alaingilbert/turntable-api,3458201,ttapi,https://github.com/alaingilbert/Turntable-API#readme,git://github.com/alaingilbert/Turntable-API.git,667374,ttapi,https://github.com/alaingilbert/Turntable-API/tree/python_ttapi,https://github.com/alaingilbert/Turntable-API/tree/python_ttapi,174152,ttapi,http://github.com/alaingilbert/Turntable-API/tree/master/ruby_ttapi,http://github.com/alaingilbert/Turntable-API/tree/master/ruby_ttapi
github.com/zcred/veriform,3535976,veriform,https://github.com/zcred/veriform#readme,git+https://github.com/zcred/veriform.git,685168,veriform,https://github.com/zcred/veriform,https://github.com/zcred/veriform,179251,veriform,https://github.com/zcred/veriform/tree/master/ruby/,https://github.com/zcred/veriform/tree/master/ruby/
github.com/dariusk/wordfilter,3654819,wordfilter,https://github.com/dariusk/wordfilter,git://github.com/dariusk/wordfilter.git,705229,wordfilter,https://github.com/dariusk/wordfilter,https://github.com/dariusk/wordfilter,184443,wordfilter,https://github.com/dariusk/wordfilter,https://github.com/dariusk/wordfilter
